               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 107,            0.022935,            0.016143,           0.0011637,             0.85825,             0.83553,             0.87923,             0.69063,            0.027792,           0.0087512,           0.0021443,           0.0025043,           0.0025043,           0.0025043
                 108,            0.022992,            0.015988,           0.0011443,             0.84624,             0.83925,             0.88041,             0.69495,            0.027599,           0.0088139,            0.002819,           0.0024336,           0.0024336,           0.0024336
                 109,            0.022807,            0.016012,            0.001128,             0.83993,             0.85189,             0.87937,             0.69618,            0.027317,           0.0087731,           0.0030026,           0.0023629,           0.0023629,           0.0023629
                 110,            0.022692,            0.015889,          0.00097464,             0.85544,             0.84469,              0.8802,             0.69441,            0.027869,           0.0087628,           0.0025934,           0.0022921,           0.0022921,           0.0022921
                 111,            0.022596,            0.016051,           0.0010488,             0.83776,             0.83852,             0.87834,             0.68736,            0.027632,           0.0088036,           0.0027009,           0.0022214,           0.0022214,           0.0022214
                 112,            0.022325,            0.015771,           0.0011922,             0.86254,             0.82606,             0.87923,             0.69554,            0.027604,           0.0087368,           0.0036307,           0.0021507,           0.0021507,           0.0021507
                 113,            0.022431,            0.015808,           0.0010585,             0.86332,             0.83002,             0.87742,             0.69736,            0.027493,           0.0086932,           0.0030992,             0.00208,             0.00208,             0.00208
                 114,            0.022307,            0.015541,          0.00098079,             0.86353,             0.84055,             0.88057,             0.69944,            0.027605,           0.0087128,           0.0036832,           0.0020093,           0.0020093,           0.0020093
                 115,            0.022479,            0.015553,           0.0011059,             0.84947,             0.83456,             0.87648,             0.69648,            0.027687,           0.0087264,           0.0041318,           0.0019386,           0.0019386,           0.0019386
                 116,            0.022237,            0.015552,           0.0010375,             0.85788,             0.84566,             0.88221,             0.69832,            0.027803,           0.0086992,           0.0038102,           0.0018679,           0.0018679,           0.0018679
                 117,            0.022107,            0.015611,          0.00091831,              0.8628,             0.84556,              0.8811,              0.6986,            0.027894,           0.0087187,           0.0028338,           0.0017971,           0.0017971,           0.0017971
                 118,            0.021864,            0.015471,           0.0009503,             0.86379,             0.84165,             0.88385,             0.69901,            0.027815,           0.0088332,           0.0034309,           0.0017264,           0.0017264,           0.0017264
                 119,            0.021837,            0.015734,          0.00097755,             0.84822,              0.8565,             0.88333,             0.70322,            0.027871,           0.0088954,           0.0024032,           0.0016557,           0.0016557,           0.0016557
                 120,            0.021748,             0.01532,           0.0010008,             0.85589,             0.84965,             0.88303,             0.70176,            0.027705,           0.0088923,           0.0025044,            0.001585,            0.001585,            0.001585
                 121,            0.021506,            0.015165,            0.000959,              0.8561,             0.84831,             0.88497,             0.70255,            0.027466,           0.0089264,           0.0027818,           0.0015143,           0.0015143,           0.0015143
                 122,            0.021403,            0.015259,          0.00092595,             0.84735,             0.85059,             0.88178,             0.70392,             0.02765,           0.0089645,           0.0030533,           0.0014436,           0.0014436,           0.0014436
                 123,            0.021539,            0.015121,          0.00090191,             0.85417,             0.84932,             0.88362,             0.70456,            0.027792,           0.0089633,           0.0035504,           0.0013729,           0.0013729,           0.0013729
                 124,            0.021387,            0.015149,          0.00093186,             0.86315,             0.84048,             0.88392,             0.70851,            0.027854,           0.0089221,           0.0038572,           0.0013021,           0.0013021,           0.0013021
                 125,            0.020959,            0.014958,          0.00087172,             0.87026,             0.84623,             0.88406,             0.70563,            0.028049,           0.0089328,           0.0032427,           0.0012314,           0.0012314,           0.0012314
                 126,             0.02091,            0.014879,          0.00088051,             0.86006,              0.8526,             0.88338,             0.70879,            0.028058,           0.0089877,           0.0033897,           0.0011607,           0.0011607,           0.0011607
                 127,            0.020896,            0.014981,          0.00083965,             0.85476,             0.85459,              0.8819,             0.70673,            0.027907,           0.0090847,           0.0030097,             0.00109,             0.00109,             0.00109
                 128,            0.020856,            0.014953,           0.0008839,             0.86198,             0.84875,             0.87965,             0.70392,            0.027816,           0.0091143,           0.0025703,           0.0010193,           0.0010193,           0.0010193
                 129,            0.020643,            0.014796,          0.00082907,             0.85403,             0.85783,              0.8847,             0.70678,            0.027594,             0.00914,           0.0024514,          0.00094857,          0.00094857,          0.00094857
                 130,            0.020911,              0.0148,          0.00082673,             0.85202,              0.8581,             0.88378,             0.70765,            0.027598,           0.0091386,           0.0024488,          0.00087786,          0.00087786,          0.00087786
                 131,            0.020399,            0.014637,          0.00082784,             0.86092,             0.85821,              0.8853,             0.70613,            0.027528,           0.0091491,           0.0023978,          0.00080714,          0.00080714,          0.00080714
                 132,            0.020607,            0.014546,          0.00080508,             0.86337,             0.86185,              0.8865,             0.70779,            0.027482,           0.0091138,            0.002193,          0.00073643,          0.00073643,          0.00073643
                 133,            0.020525,            0.014647,          0.00083708,             0.87885,               0.842,             0.88555,             0.71012,            0.027317,           0.0090718,           0.0024843,          0.00066571,          0.00066571,          0.00066571
                 134,            0.020466,            0.014614,          0.00077759,             0.87086,             0.85403,              0.8859,             0.70809,            0.027231,           0.0090599,           0.0026447,            0.000595,            0.000595,            0.000595
                 135,             0.02018,            0.014352,          0.00080903,              0.8704,             0.85637,             0.88649,             0.70935,            0.027203,           0.0090497,           0.0027397,          0.00052429,          0.00052429,          0.00052429
                 136,            0.020177,            0.014533,          0.00077143,             0.85631,             0.85772,             0.88455,             0.70902,            0.027211,           0.0090754,           0.0027982,          0.00045357,          0.00045357,          0.00045357
                 137,             0.02017,            0.014327,           0.0007276,             0.86942,             0.85035,             0.88307,             0.71138,            0.027214,           0.0091143,           0.0026846,          0.00038286,          0.00038286,          0.00038286
                 138,            0.020121,            0.014516,          0.00073733,             0.86301,             0.86183,             0.88546,             0.71245,            0.027283,           0.0091245,           0.0028037,          0.00031214,          0.00031214,          0.00031214
                 139,            0.020002,             0.01433,          0.00073231,             0.86103,             0.86406,             0.88644,             0.71272,            0.027343,           0.0091271,           0.0028825,          0.00024143,          0.00024143,          0.00024143
